KLPID|DISE CODE
32081|29200320301
32082|29200401001
33392|29200417903
33386|29200416101
33385|29200401008
33388|29200404709
33390|29200402101
33389|29200416904
33391|29200401103
33387|29200422601
33384|29200401004
32216|29200417902
32229|29200417901
32218|29280707401
32224|29200418401
32223|29200305701
32324|29200420801
32328|29200420401
32326|29200422301
32332|29200421101
32404|29200404501
32511|29200426101
32529|29200421102
32523|29200426001
32530|29200401301
32522|29200421301
32520|29200419002
32917|29200417101
32918|29210415801
32915|29200416901
32922|29200417401
32815|29200415003
32805|29210400901
32813|29200415501
32622|29200410002
32621|29200409601
32705|29200407101
32700|29200407401
32712|29200406901
32709|29200406601
33443|29200404801
33434|29200405401
32859|29200412401
33380|29200401061
33368|29200427601
33407|29200410901
33417|29200426201
35475|29200425001
32962|29200401101
32954|29200402901
32963|29200401102
32103|BBMP we dont have
32101|BBMP we dont have
32093|BBMP we dont have
32104|29280602422
32095|BBMP we dont have
32100|BBMP we dont have
32094|BBMP we dont have
32097|BBMP we dont have
32102|29280601815
33446|BBMP we dont have
32098|BBMP we dont have
32096|BBMP we dont have
32099|BBMP we dont have
32156|29280231501
32157|29280209201
32272|29280232303
32271|29280232319
32359|29280208404
32465|29280208822
32659|29280202911
32655|29280232601
32653|29200424501
32658|29280209101
32766|29280203910
32761|29200409601
32751|29280204802
32755|29280205101
32759|29280205401
32760|29200309604
32754|29280204901
32753|29280203901
32762|29280205201
32757|29280205001
32764|29280205301
33295|29280206801
33297|29280206001
33292|29280206501
33289|29280206401
33296|29280205901
33281|29280229802
33285|29280233701
33312|29280200427
33310|29280200403
32828|29280208813
33278|29280232201
33276|29280232101
33279|29280231801
33270|29280232401
33273|29280232001
33275|29200300144
33274|29280202701
33277|29280202401
33272|29280231804
33271|29280202601
33280|29280231805
32024|29280500340
32031|29280500313
32026|29280708501
33165|29280500601
33167|School closed
33170|29280501302
33168|29280500203
33164|29280500618
33166|29280500614
33175|School closed
33178|29280500202
33162|29280502605
33163|29280502606
33186|29280501020
33180|29280500805
33181|School closed
32362|29280502301
32365|29280502303
32364|29280501114
32366|29280501107
32363|29280707116
32507|29280600904
32505|29280600107
32503|29280600105
32070|29280600405
32202|29280600801
33869|29280600904
32207|29280602005
32205|29280602001
36249|29280602316
32312|29280602203
32314|29280602305
32311|29280602204
32307|29280602316
33148|29280600330
33151|29280601921
35345|29280601944
33153|29280601904
33160|29280600307
32611|Mraze to Rehmania
32612|29280601802
32613|29280601801
33143|29280602401
33138|29280602414
33139|29280600718
33232|29280704505
33225|29280715001
33216|29280719903
33221|29280717902
33214|29210413301
32049|29280706301
32037|29280719802
32044|29280706102
32167|29280719831
32168|29200801302
32176|29280707121
32181|29280718404
32169|29210102601
33254|29200402901
33259|29280712001
33267|29280700301
33257|29200400301
32381|29280712603
32372|School closed
32588|29280715601
32586|29210207001
32662|29280704901
32673|29280703801
32670|29280705801
33206|29200400801
33201|29210213201
33209|29280707128
33210|29200904905
33204|29280719814
33203|29200423601
33191|29280712801
33241|29280712303
33242|29280712202
33244|29280716001
33243|29280716401
32776|29280716601
32770|29280700701
32785|29280716701
32783|29280708201
32781|29280700601
32784|29280712101
32774|29280708101
32782|29280705304
32780|29280719601
32779|29280701801
32835|29280706401
32878|29280717101
32884|29280700112
32940|29280700125
32935|29280713201
32938|29200418401
32932|29280705101
32931|29280717301
32937|29210117501
32934|29200427701
32933|29280709901
32943|29210211601
32942|29280700130
32341|29200111134
32340|29200124203
32337|29200111133
32120|29200103619
32107|29200103904
32110|29210210601
32113|29200103607
32739|29200111853
32743|29200124310
33041|29200415401
33043|29200104915
33044|29200104912
33050|29200103612
33045|29200104005
33037|29200104006
32714|29200412501
32979|29200124406
32972|29200124440
32424|29200111760
32427|29200111712
32430|29200111719
31977|29200105803
31992|29200105901
31991|29200106501
31996|29200800326
31981|29200107004
32969|29200111844
32964|29200800907
32966|29200111532
32965|29200111857
32533|29200107301
32549|29200107311
32637|29200110058
33060|29200100502
33064|29200111847
33063|29200111845
32250|29200101701
32234|29200100122
32247|29200102101
32242|29200139901
32867|29200102811
32873|29200102810
32876|29200109222
32874|29200124002
33076|29280206602
32124|29200802231
32127|29200801903
32136|29200802808
32122|29200801303
32132|29200801907
33072|29200800608
33068|29200800718
33086|29200802505
32252|29200800507
32256|29200802126
32253|29200800529
32443|29200802806
32450|School closed
32444|40020050006
32440|29200802804
32437|29200801931
32439|29200801021
33822|29200802808
32013|29200901713
32011|29200901715
33104|29210314401
33101|29200904501
32143|29200905533
32148|29200904127
33129|29200902318
33133|29200902321
33128|29200909111
32260|29200903526
32357|29200900614
32641|29200900301
32642|29200907001
32059|29200306501
32055|29200312501
32058|29200312701
33331|29200319101
33343|29200313401
33344|29200313201
33345|29200313501
33335|29200310601
32389|29200320301
32397|29200312207
32396|29200312002
33350|29200306007
33359|29280700501
33353|29200315701
32501|29200308114
32493|29200300902
32603|29200309201
32594|29200302701
32687|29200320601
32681|29200311104
33327|29200303401
33324|29200308103
33315|29200312203
33317|29200312205
32798|29200304101
32793|29200304001
32796|29200303301
32797|29200315201
32847|29200416601
32850|29200107701
32848|29200305101
32846|29200307001
32849|29200304801
32906|29200320391
32896|29210108101
32911|29200301201
32895|29200301002
32912|29200301006
32910|29200301101
36188|29210404101
36187|29210405701
36185|29210400401
36186|29210400701
36190|29210400301
36229|29210407201
36230|29210407301
36194|29210406905
36196|29210406302
36216|29210406301
36218|29210409501
36232|29210417501
36226|29200100129
36208|29210418001
36209|29200312105
36207|29210413901
36192|29210418101
36221|29210417501
36227|29210417101
36211|29210417601
36228|29210417301
36212|29210413902
36233|29210411901
36236|29210412401
36247|29210411801
36235|20040130004
36237|29210411401
36225|29210415901
36203|29210416801
36214|29210416601
36219|29210416101
36198|29210416301
36201|29210416001
36204|29210412501
36197|29210416401
36231|29210416202
36199|29210416201
36195|29210409801
36202|29210416701
36248|29020422011
35968|this school is not their
36089|29210413302
36215|29210410901
36224|29210410001
36223|29210410601
36222|29210410701
36220|29210411001
36206|29210408002
36210|29210104601
36200|29210410801
36213|29200425401
36217|20040110006
36193|29210109701
35928|29210404901
35910|29210421001
36189|29280702801
36052|29210413901
36136|School closed
35878|29210113801
36241|pro gramme is not running
36238|29210401701
36245|29210402201
36239|29210402301
36246|29210401801
36242|29210401901
36244|29200105801
36243|29210403801
36240|29210402001
35941|29210409701
36088|29210414601
35985|29210303501
